filename,text
selfrecorded/selfrecorded_079.wav,Bijli chali gayi thi do ghante ke liye.
selfrecorded/selfrecorded_080.wav,Cricket match dekhne chalte hain shaam ko.
selfrecorded/selfrecorded_081.wav,Yeh headphones ki sound quality bahut acchi hai.
selfrecorded/selfrecorded_082.wav,Ration list bana li maine subah hi.
selfrecorded/selfrecorded_083.wav,Naya phone lena hai is Diwali par.
selfrecorded/selfrecorded_084.wav,Office ka WiFi password kya hai?
selfrecorded/selfrecorded_085.wav,Kal ka homework complete kar liya maine.
selfrecorded/selfrecorded_086.wav,Yeh dress function ke liye perfect hai.
selfrecorded/selfrecorded_087.wav,Traffic jaam ki wajah se der ho gayi.
selfrecorded/selfrecorded_088.wav,"Chai peene chalte hain, break le lete hain."
selfrecorded/selfrecorded_089.wav,Yeh recipe try karni hai is weekend.
selfrecorded/selfrecorded_090.wav,Naye saal ka resolution kya banaya tumne?
selfrecorded/selfrecorded_091.wav,"Theek hai, ab main chalta hoon."
selfrecorded/selfrecorded_092.wav,"Sab kuch samajh aa gaya, thank you."
selfrecorded/selfrecorded_093.wav,"Phir milte hain, take care bhai."
selfrecorded/selfrecorded_094.wav,Yeh conversation yahin khatam karte hain.
selfrecorded/selfrecorded_095.wav,Koi aur sawaal ho toh batana.
selfrecorded/selfrecorded_096.wav,Bahut accha laga baat karke.
selfrecorded/selfrecorded_097.wav,Chalo ab kaam par wapas jaate hain.
selfrecorded/selfrecorded_098.wav,"Aaj ke liye itna hi, good night."
selfrecorded/selfrecorded_099.wav,Agli baar aur detail mein baat karenge.
selfrecorded/selfrecorded_100.wav,"Dhanyavaad, apna dhyan rakhna."
